hostname,edr
laptop-001,crowdstrike
laptop-002,crowdstrike
laptop-004,crowdstrike
laptop-005,crowdstrike
laptop-006,crowdstrike
laptop-007,crowdstrike
laptop-008,crowdstrike
laptop-009,crowdstrike
laptop-010,crowdstrike
laptop-011,crowdstrike
laptop-012,crowdstrike
laptop-013,crowdstrike
laptop-014,crowdstrike
laptop-015,crowdstrike
laptop-016,crowdstrike
laptop-018,crowdstrike
laptop-019,crowdstrike
laptop-020,crowdstrike
laptop-021,crowdstrike
laptop-022,crowdstrike
laptop-023,crowdstrike
laptop-024,crowdstrike
laptop-025,crowdstrike
laptop-026,crowdstrike
laptop-027,crowdstrike
laptop-028,crowdstrike
laptop-029,crowdstrike
laptop-030,crowdstrike
laptop-031,crowdstrike
laptop-032,crowdstrike
laptop-034,crowdstrike
laptop-035,crowdstrike
laptop-036,crowdstrike
laptop-037,crowdstrike
laptop-038,crowdstrike
laptop-039,crowdstrike
laptop-040,crowdstrike
laptop-041,crowdstrike
laptop-042,crowdstrike
laptop-043,crowdstrike
laptop-044,crowdstrike
laptop-045,crowdstrike
laptop-046,crowdstrike
laptop-048,crowdstrike
laptop-049,crowdstrike
laptop-050,crowdstrike
laptop-052,crowdstrike
laptop-053,crowdstrike
laptop-054,crowdstrike
laptop-055,crowdstrike
laptop-056,crowdstrike
laptop-057,crowdstrike
laptop-058,crowdstrike
laptop-059,crowdstrike
laptop-060,crowdstrike
laptop-061,crowdstrike
laptop-062,crowdstrike
laptop-063,crowdstrike
laptop-064,crowdstrike
laptop-065,crowdstrike
laptop-066,crowdstrike
laptop-067,crowdstrike
laptop-069,crowdstrike
laptop-070,crowdstrike
laptop-071,crowdstrike
laptop-072,crowdstrike
laptop-073,crowdstrike
laptop-074,crowdstrike
laptop-075,crowdstrike
laptop-076,crowdstrike
laptop-077,crowdstrike
laptop-078,crowdstrike
laptop-079,crowdstrike
laptop-080,crowdstrike
laptop-081,crowdstrike
laptop-083,crowdstrike
laptop-084,crowdstrike
laptop-085,crowdstrike
laptop-086,crowdstrike
laptop-087,crowdstrike
laptop-088,crowdstrike
laptop-089,crowdstrike
laptop-090,crowdstrike
laptop-091,crowdstrike
laptop-092,crowdstrike
laptop-093,crowdstrike
laptop-094,crowdstrike
laptop-095,crowdstrike
laptop-096,crowdstrike
laptop-097,crowdstrike
laptop-098,crowdstrike
laptop-101,crowdstrike
laptop-102,crowdstrike
laptop-103,crowdstrike
laptop-104,crowdstrike
laptop-105,crowdstrike
laptop-106,crowdstrike
laptop-107,crowdstrike
laptop-108,crowdstrike
laptop-109,crowdstrike
laptop-110,crowdstrike
laptop-111,crowdstrike
laptop-112,crowdstrike
laptop-113,crowdstrike
laptop-114,crowdstrike
laptop-116,crowdstrike
laptop-117,crowdstrike
laptop-118,crowdstrike
laptop-119,crowdstrike
laptop-120,crowdstrike
laptop-121,crowdstrike
laptop-122,crowdstrike
laptop-123,crowdstrike
laptop-124,crowdstrike
laptop-125,crowdstrike
laptop-126,crowdstrike
laptop-127,crowdstrike
laptop-128,crowdstrike
laptop-129,crowdstrike
laptop-130,crowdstrike
laptop-132,crowdstrike
laptop-133,crowdstrike
laptop-134,crowdstrike
laptop-135,crowdstrike
laptop-136,crowdstrike
laptop-137,crowdstrike
laptop-138,crowdstrike
laptop-139,crowdstrike
laptop-140,crowdstrike
laptop-141,crowdstrike
laptop-142,crowdstrike
laptop-143,crowdstrike
laptop-145,crowdstrike
laptop-146,crowdstrike
laptop-147,crowdstrike
laptop-148,crowdstrike
laptop-149,crowdstrike
laptop-150,crowdstrike
laptop-151,crowdstrike
laptop-152,crowdstrike
laptop-153,crowdstrike
laptop-154,crowdstrike
laptop-155,crowdstrike
laptop-157,crowdstrike
laptop-158,crowdstrike
laptop-159,crowdstrike
laptop-160,crowdstrike
laptop-161,crowdstrike
laptop-162,crowdstrike
laptop-163,crowdstrike
laptop-164,crowdstrike
laptop-165,crowdstrike
laptop-166,crowdstrike
laptop-167,crowdstrike
laptop-168,crowdstrike
laptop-169,crowdstrike
laptop-170,crowdstrike
laptop-171,crowdstrike
laptop-173,crowdstrike
laptop-174,crowdstrike
laptop-175,crowdstrike
laptop-176,crowdstrike
laptop-177,crowdstrike
laptop-178,crowdstrike
laptop-179,crowdstrike
laptop-181,crowdstrike
laptop-182,crowdstrike
laptop-183,crowdstrike
laptop-184,crowdstrike
laptop-185,crowdstrike
laptop-186,crowdstrike
laptop-187,crowdstrike
laptop-189,crowdstrike
laptop-190,crowdstrike
laptop-192,crowdstrike
laptop-193,crowdstrike
laptop-194,crowdstrike
laptop-196,crowdstrike
laptop-197,crowdstrike
laptop-199,crowdstrike
