hostname,owner,department
acq-001,legacy-001,acquired-co
acq-002,legacy-002,acquired-co
acq-003,legacy-003,acquired-co
acq-004,legacy-004,acquired-co
acq-005,legacy-005,acquired-co
acq-006,legacy-006,acquired-co
acq-007,legacy-007,acquired-co
acq-008,legacy-008,acquired-co
acq-009,legacy-009,acquired-co
acq-010,legacy-010,acquired-co
acq-011,legacy-011,acquired-co
acq-012,legacy-012,acquired-co
acq-013,legacy-013,acquired-co
acq-014,legacy-014,acquired-co
acq-015,legacy-015,acquired-co
acq-016,legacy-016,acquired-co
acq-017,legacy-017,acquired-co
acq-018,legacy-018,acquired-co
acq-019,legacy-019,acquired-co
acq-020,legacy-020,acquired-co
acq-021,legacy-021,acquired-co
acq-022,legacy-022,acquired-co
acq-023,legacy-023,acquired-co
acq-024,legacy-024,acquired-co
acq-025,legacy-025,acquired-co
acq-026,legacy-026,acquired-co
acq-027,legacy-027,acquired-co
acq-028,legacy-028,acquired-co
acq-029,legacy-029,acquired-co
acq-030,legacy-030,acquired-co
acq-031,legacy-031,acquired-co
acq-032,legacy-032,acquired-co
acq-033,legacy-033,acquired-co
acq-034,legacy-034,acquired-co
acq-035,legacy-035,acquired-co
acq-036,legacy-036,acquired-co
acq-037,legacy-037,acquired-co
acq-038,legacy-038,acquired-co
acq-039,legacy-039,acquired-co
acq-040,legacy-040,acquired-co
acq-041,legacy-041,acquired-co
acq-042,legacy-042,acquired-co
acq-043,legacy-043,acquired-co
acq-044,legacy-044,acquired-co
acq-045,legacy-045,acquired-co
acq-046,legacy-046,acquired-co
acq-047,legacy-047,acquired-co
acq-048,legacy-048,acquired-co
acq-049,legacy-049,acquired-co
acq-050,legacy-050,acquired-co
laptop-001,alice,parent-co
laptop-002,bob,parent-co
